train_acc,epoch,step,train_loss,lr-AdamW,val_loss,val_acc,test_acc,test_loss
0.609375,91,15949,1.062378168106079,,,,,
0.62890625,91,15999,1.0003896951675415,,,,,
0.5859375,91,16049,1.0384259223937988,,,,,
0.62109375,91,16099,1.1020865440368652,,,,,
,91,16099,,,1.089678406715393,0.6144000291824341,,
,,16100,,0.0003,,,,
0.59765625,92,16149,1.133779525756836,,,,,
0.5390625,92,16199,1.2198668718338013,,,,,
0.5859375,92,16249,1.2136722803115845,,,,,
,92,16274,,,1.154292106628418,0.5843999981880188,,
,,16275,,0.0003,,,,
0.5859375,93,16299,1.1456292867660522,,,,,
0.6796875,93,16349,0.9704657793045044,,,,,
0.60546875,93,16399,1.1762794256210327,,,,,
0.46875,93,16449,1.5637620687484741,,,,,
,93,16449,,,1.4902594089508057,0.4625999927520752,,
,,16450,,0.0003,,,,
0.46484375,94,16499,1.3692786693572998,,,,,
0.5390625,94,16549,1.2963533401489258,,,,,
0.52734375,94,16599,1.31024169921875,,,,,
,94,16624,,,1.3607726097106934,0.5126000046730042,,
,,16625,,0.0003,,,,
0.49609375,95,16649,1.3821699619293213,,,,,
0.50390625,95,16699,1.3185769319534302,,,,,
0.5546875,95,16749,1.1796380281448364,,,,,
0.5078125,95,16799,1.2848905324935913,,,,,
,95,16799,,,1.21316397190094,0.5573999881744385,,
,,16800,,0.0003,,,,
0.54296875,96,16849,1.2527058124542236,,,,,
0.546875,96,16899,1.1939488649368286,,,,,
0.5390625,96,16949,1.279965877532959,,,,,
,96,16974,,,1.2644822597503662,0.5455999970436096,,
,,16975,,0.0003,,,,
0.52734375,97,16999,1.3370966911315918,,,,,
0.50390625,97,17049,1.2839432954788208,,,,,
0.5546875,97,17099,1.2436732053756714,,,,,
0.57421875,97,17149,1.2277343273162842,,,,,
,97,17149,,,1.2392704486846924,0.5555999875068665,,
,,17150,,0.0003,,,,
0.5703125,98,17199,1.2369221448898315,,,,,
0.45703125,98,17249,1.406665563583374,,,,,
0.5234375,98,17299,1.4497179985046387,,,,,
,98,17324,,,1.3931732177734375,0.49480000138282776,,
,,17325,,0.0003,,,,
0.5390625,99,17349,1.3525605201721191,,,,,
0.5703125,99,17399,1.2403167486190796,,,,,
0.49609375,99,17449,1.332075595855713,,,,,
0.4765625,99,17499,1.5660006999969482,,,,,
,99,17499,,,1.4785521030426025,0.4681999981403351,,
,,17500,,2.9999999999999997e-05,,,,
0.4765625,100,17549,1.4524140357971191,,,,,
0.51953125,100,17599,1.3902487754821777,,,,,
0.53125,100,17649,1.397127628326416,,,,,
,100,17674,,,1.3178379535675049,0.522599995136261,,
,,17675,,2.9999999999999997e-05,,,,
0.5078125,101,17699,1.3231287002563477,,,,,
0.54296875,101,17749,1.3210363388061523,,,,,
0.53515625,101,17799,1.2678513526916504,,,,,
0.5546875,101,17849,1.2865018844604492,,,,,
,101,17849,,,1.2573325634002686,0.5454000234603882,,
,,17850,,2.9999999999999997e-05,,,,
0.58984375,102,17899,1.1788724660873413,,,,,
0.6015625,102,17949,1.1827493906021118,,,,,
0.59765625,102,17999,1.1688944101333618,,,,,
,102,18024,,,1.241484522819519,0.5590000152587891,,
,,18025,,2.9999999999999997e-05,,,,
0.57421875,103,18049,1.2775239944458008,,,,,
0.58984375,103,18099,1.1718450784683228,,,,,
0.53125,103,18149,1.2522773742675781,,,,,
0.60546875,103,18199,1.1287028789520264,,,,,
,103,18199,,,1.210768461227417,0.5637999773025513,,
,,18200,,2.9999999999999997e-05,,,,
0.55859375,104,18249,1.2329736948013306,,,,,
0.55078125,104,18299,1.1815334558486938,,,,,
0.55859375,104,18349,1.2047910690307617,,,,,
,104,18374,,,1.1924539804458618,0.573199987411499,,
,,18375,,2.9999999999999997e-05,,,,
0.578125,105,18399,1.1997753381729126,,,,,
0.6015625,105,18449,1.1346580982208252,,,,,
0.546875,105,18499,1.3003170490264893,,,,,
0.640625,105,18549,1.1901499032974243,,,,,
,105,18549,,,1.1780403852462769,0.5767999887466431,,
,,18550,,2.9999999999999997e-05,,,,
0.5859375,106,18599,1.107560157775879,,,,,
0.62109375,106,18649,1.1654545068740845,,,,,
0.625,106,18699,1.1579357385635376,,,,,
